title,filename
Cache-Assisted Content Delivery in Wireless Networks: A New Game Theoretic Model,COMP-0034_Guo_Cache-Assisted_Content_Delivery
Distributed and Dynamic Service Placement in Pervasive Edge Computing Networks,COMP-0036_Wang_Distributed_Dynamic_Service
"No Wait, No Waste: A Novel and Efficient Coordination Algorithm for Multiple Readers in RFID Systems",COMP-0042_Guo_No_Wait_No
Revisiting Double-Spending Attacks on the Bitcoin Blockchain: New Findings,COMP-0046_Guo_Revisiting_Double-Spending_Attacks
Exploring Layered Container Structure for Cost Efficient Microservice Deployment,COMP-0060_Guo_Exploring_Layered_Container
Petrel: Heterogeneity-aware Distributed Deep Learning via Hybrid Synchronization,COMP-0063_Zhou_Petrel_Heterogeneity-Aware_Distributed
Pyramid: A Layered Sharding Blockchain System,COMP-0064_Hong_Pyramid_Layered_Sharding
Canary: Decentralized Distributed Deep Learning via Gradient Sketch and Partition in Multi-interface Networks,COMP-0075_Zhou_Canary_Decentralized_Distributed
RDAM: A Reinforcement Learning Based Dynamic Attribute Matrix Representation for Virtual Network Embedding,COMP-0080_Guo_Rdam_Reinforcement_Learning
"A Survey of State-of-the-Art on Blockchains: Theories, Modelings, and Tools",COMP-0087_Guo_Survey_State-Of-The-Art_Blockchains
Accurate Respiration Monitoring for Mobile Users with Commercial RFID Devices,COMP-0093_Guo_Accurate_Respiration_Monitoring
Fast and Reliable Dynamic Tag Estimation in Large-Scale RFID Systems,COMP-0098_Guo_Fast_And_Reliable
Multi-agent Imitation Learning for Pervasive Edge Computing: A Decentralized Computation Offloading Algorithm,COMP-0101_Wang_Multi-Agent_Imitation_Learning
Falcon: Addressing Stragglers in Heterogeneous Parameter Server via Multiple Parallelism,COMP-0108_Guo_Falcon_Addressing_Stragglers
SDN-NFV Aided Edge-Cloud Interplay for 5G-Envisioned Energy Internet Ecosystem,COMP-0112_Guo_Sdn-Nfv_Aided_Edge-Cloud
An Online Pricing Strategy of EV Charging and Data Caching in Highway Service Stations,COMP-0164_Guo_Online_Pricing_Strategy
Coflow-like Online Data Acquisition from Low-Earth-Orbit Datacenters,COMP-0167_Guo_Coflow-Like_Online_Data
Dynamic Resource Allocation for Hierarchical Federated Learning,COMP-0171_Guo_Dynamic_Resource_Allocation
Learning-Based Network Boolean Tomography for Identifying Congested Links with Correlations,COMP-0176_Guo_Learning-Based_Network_Boolean
Multi-agent Actor-Critic Reinforcement Learning Based In-network Load Balance,COMP-0177_Guo_Multi-Agent_Actor-Critic_Reinforcement
Pedagogical Data Analysis via Federated Learning Toward Education 4.0,COMP-0179_Guo_Pedagogical_Data_Analysis
PIRATE: A Blockchain-based Secure Framework of Distributed Machine Learning in 5G Networks,COMP-0202_Guo_Pirate_Blockchain-Based_Secure
Autonomous Rate Control for Mobile Internet of Things: A Deep Reinforcement Learning Approach,COMP-0221_Guo_Autonomous_Rate_Control
Dual-view Attention Networks for Single Image Super-Resolution,COMP-0223_Guo_Dual-View_Attention_Networks
Joint DNN Partition Deployment and Resource Allocation for Delay-Sensitive Deep Learning Inference in IoT,COMP-0225_Guo_Joint_Dnn_Partition
Offloading Federated Learning Task to Edge Computing with Trust Execution Environment,COMP-0227_Guo_Offloading_Federated_Learning
Service Function Chain Deployment and Network Flow Scheduling in Geo-distributed Data Centers,COMP-0231_Guo_Service_Function_Chain
Why Queue Up? Fast Parallel Search of RFID Tags for Multiple Users,COMP-0232_Guo_Why_Queue_Up
Towards Real-time Cooperative Deep Inference over the Edge and End Devices,COMP-0250_Guo_Towards_Real-Time_Cooperative
Online Computation Offloading and Traffic Routing for UAV Swarms in Edge-Cloud Computing,COMP-0271_Guo_Online_Computation_Offloading
Scalable and Communication-efficient Decentralized Federated Edge Learning with Multi-blockchain Framework,COMP-0272_Guo_Scalable_Communication-Efficient_Decentralized
SkyChain: A Deep Reinforcement Learning-Empowered Dynamic Blockchain Sharding System,COMP-0275_Zhan_Skychain_Deep_Reinforcement
A Cyclic Game for Service-Oriented Resource Allocation in Edge Computing,COMP-0283_Guo_Cyclic_Game_Service-Oriented
A Learning-based Incentive Mechanism for Federated Learning,COMP-0289_Zhan_Learning-Based_Incentive_Mechanism
Edge QoE: Intelligent Big Data Caching via Deep Reinforcement Learning,COMP-0296_Guo_Edge_Qoe_Intelligent
Green Resource Allocation based on Deep Reinforcement Learning in Content-Centric IoT,COMP-0300_Guo_Green_Resource_Allocation
A Deep Reinforcement Learning Based Offloading Game in Edge Computing,COMP-0311_Zhan_Deep_Reinforcement_Learning
A Continuous-Decision Virtual Network Embedding Scheme Relying on Reinforcement Learning,COMP-0316_Guo_Continuous-Decision_Virtual_Network
A Learning-Based Approach to Intra-Domain QoS Routing,COMP-0317_Guo_Learning-Based_Approach_Intra-Domain
Optimal Connected Cruise Control with Arbitrary Communication Delays,COMP-0327_Guo_Optimal_Connected_Cruise
QoE-Based cooperative task offloading with deep reinforcement learning in mobile edge networks,COMP-0328_Guo_Qoe-Based_Cooperative_Task
Spacechain: A Three-Dimensional Blockchain Architecture for IoT Security,COMP-0333_Guo_Spacechain_Three-Dimensional_Blockchain
Two-Layer Game Based Resource Allocation in Cloud Based Integrated Terrestrial-Satellite Networks,COMP-0335_Guo_Two-Layer_Game_Based
Task Scheduling for Energy Consumption Constrained Parallel Applications on Heterogeneous Computing Systems,COMP-0345_Guo_Task_Scheduling_Energy
Blockchain Meets Edge Computing: Stackelberg Game and Double Auction based Task Offloading for Mobile Blockchain,COMP-0348_Guo_Blockchain_Meets_Edge
Near-Optimal Deployment of Service Chains by Exploiting Correlations between Network Functions,COMP-0360_Guo_Near-Optimal_Deployment_Service
Augmenting Drive-Thru Internet via Reinforcement Learning-Based Rate Adaptation,COMP-0362_Xu_Augmenting_Drive-Thru_Internet
A Service-Oriented Permissioned Blockchain for the Internet of Things,COMP-0373_Guo_Service-Oriented_Permissioned_Blockchain
Blockchain Meets Edge Computing: A Distributed and Trusted Authentication System,COMP-0377_Guo_Blockchain_Meets_Edge
Cooperative caching for multiple bitrate videos in small cell edges,COMP-0389_Guo_Cooperative_Caching_Multiple
"Deep Learning for Physical-Layer 5G Wireless Techniques: Opportunities, Challenges and Solutions",COMP-0392_Guo_Deep_Learning_Physical-Layer
Guest Editorial Special Section on AI-Driven Developments in 5G-Envisioned Industrial Automation: Big Data Perspective,COMP-0396_Guo_Guest_Editorial_Special
Tornado: Enabling Blockchain in Heterogeneous Internet of Things Through a Space-Structured Approach,COMP-0400_Guo_Tornado_Enabling_Blockchain
Adaptive and Fault-tolerant Data Processing in Healthcare IoT Based on Fog Computing,COMP-0402_Guo_Adaptive_Fault-Tolerant_Data
Incentive Scheme for Cyber Physical Social Systems Based on User Behaviors,COMP-0407_Guo_Incentive_Scheme_Cyber
